run,type,max,min,median,mean,stddev
0,agent,35126140.57378264,2426564.5409559654,4133460.017975686,4771617.501452236,3854846.041040283
0,firm,77650871.22048612,9417608.1282247,26788500.093806453,31723108.627316844,21168763.346855532
1,agent,23856065.15697975,2596473.3202768425,4020060.4740187097,4747194.765900893,3366283.622889563
1,firm,71360223.99267168,14363709.886952711,18940884.11825996,28534191.195917062,18384355.63024984
2,agent,20908910.515720796,2428772.619786755,4104338.4428638476,4805816.77340799,3178661.9670436257
2,firm,72724371.6569845,20941440.998262398,42444018.57292745,40919529.28108352,16452447.31286471
3,agent,38329776.907475844,2324805.2694207123,4138237.200742622,4745043.539713269,3921502.0448899227
3,firm,86430948.7738188,9314400.942649687,17264280.6591902,29825580.52809196,24598697.34196045
4,agent,23880687.034505315,2456665.623958236,4125019.642155958,4866249.949647913,3345295.349672139
4,firm,58806363.85560586,5627298.121169091,12716542.248501169,19530170.454774752,15713751.596081566
5,agent,27753560.570597637,2440551.954328021,4027937.099831366,4789930.878817652,3705709.99355671
5,firm,111539689.44707909,12741787.64928123,19640025.66065631,31316463.1445625,28174624.625697266
6,agent,23543837.483052146,2393323.199437734,4110060.622828296,4790803.382308204,3243303.757866104
6,firm,71344643.97289158,10724146.468758699,25247771.726348333,32068462.80084157,20197246.990001213
7,agent,23141425.55795204,2544061.6315251607,4084336.0882184184,4812185.672432671,3188321.7756803017
7,firm,52651850.461406164,12844580.294245433,19234908.944067813,25074804.05597304,14319447.835988296
8,agent,19875636.734335776,2415066.690758634,4118761.90843686,4823325.095464803,3111526.7120381044
8,firm,103786943.24746443,23673846.02308513,44316247.402128205,52200224.42618398,25759465.853420157
9,agent,26235747.73044046,2385743.177844351,4102487.9334180783,4752068.603985779,3343431.181166121
9,firm,113316090.88235798,17032223.908393934,30549949.3284177,43471822.06593711,33448855.009107765
10,agent,31178591.945195206,2534949.7069193767,4243430.749994364,4810767.597939958,3518615.2182441587
10,firm,55202571.82796319,14215175.318986453,18724749.493120972,30306475.52218512,17380602.48529308
11,agent,25169287.47896302,2548739.8937184024,4123307.613308264,4854324.038359216,3259209.5379588436
11,firm,87578897.68985388,38264568.29107238,64612411.08825202,65430027.740396395,16287017.217286142
12,agent,32199332.450657625,2519721.168955617,4414207.960248897,4935121.110392814,3463249.2392754024
12,firm,87395261.23899421,29504238.901374716,44037168.44990465,48380078.640344836,17904759.14970403
13,agent,31525472.000801746,2443062.150861852,4061982.681175891,4822228.147605392,3650638.5555655295
13,firm,99129860.9326583,10998519.755015997,17112352.525032975,25691209.186542958,21975366.492832802
14,agent,30328610.017500576,2360772.714698344,4102870.9728193823,4731962.151528178,3718151.4119465286
