run,type,max,min,median,mean,stddev
0,agent,80861500.0568415,-112779.54930791576,6436193.578134139,8373952.232261518,11718622.34418753
0,firm,128856005.27729894,3633128.512180124,63001921.39094299,61564821.698001444,45963516.38021872
1,agent,59891628.94221344,-112249.11093506467,7254742.575279513,8368146.977967565,10507480.369312443
1,firm,173557227.81428862,5259424.268371487,62061307.89826469,68739916.0992597,54362379.66765728
2,agent,63300923.85079123,-115503.31677807917,6740996.862016402,8395698.054899214,10781607.616939226
2,firm,122856844.98461857,3891874.3021628913,37993894.80244047,39464619.90576054,35203570.1153343
3,agent,83048927.35081467,-187819.74887232203,6880166.298581208,8390070.485789778,11184990.320964986
3,firm,104683941.43845095,17023374.242114868,23849353.671008024,38028264.7942773,25774734.982999735
4,agent,65905243.002053775,-187992.8886988524,7044285.065434724,8372071.033476405,10751095.480345502
4,firm,202484132.66873327,4547290.559867132,30676490.629226893,49895080.04660837,57278001.13011199
5,agent,69981604.59662814,-347904.6091212597,6575826.043175719,8335827.795187814,10655568.355507541
5,firm,93863477.98677893,5365942.056775501,24648731.984856848,33830235.87461571,30243143.621621873
6,agent,63844356.29467635,-286257.7853588397,6824080.725769764,8330220.9257278945,10858582.42303971
6,firm,128867965.18306632,33162638.9436709,46223273.95950168,58790943.57991771,30974006.90509031
7,agent,66612979.020001315,-137385.26803969181,6776492.146882245,8404015.309753943,11008002.763528233
7,firm,93308334.89143911,15999044.097225558,33343584.82946913,42668399.60070677,22430294.895186808
8,agent,63813481.272260144,-168066.80604264647,6747233.436913382,8396256.377965234,10985014.140653182
8,firm,211372985.2909044,3712603.7727396735,7559516.285351433,43107488.9438726,65475649.55290914
9,agent,62985070.706122026,-213541.11283885685,6670970.018490018,8325385.368073804,10696965.324820086
9,firm,118475479.26263855,7839188.482855493,28171891.334444523,44829418.74137128,31101548.184098575
