run,type,max,min,median,mean,stddev
0,agent,63804733.18114053,1851226.773496071,5904759.141634293,8244936.19039495,9189305.50418632
0,firm,116308081.8011345,12720439.470649589,54925182.61998262,51172296.33678428,29035156.176723786
1,agent,81516754.71049921,1847525.1927466444,6334853.713644825,8243481.171878785,10005621.245542062
1,firm,226959876.2862246,9260336.853144042,28958368.019855525,53428053.200802326,62742235.21096977
2,agent,67095117.68100334,1499453.4039507122,6280264.982481377,8127997.252286558,9312415.737980556
2,firm,67961229.22490065,22780847.10488144,47155606.417518675,41205118.517881714,15620712.427378828
3,agent,61822699.43503925,2162957.426279538,6285870.292401951,8160798.3491639495,9464628.096198145
3,firm,257962849.08489254,18391028.566889316,48930170.637115344,75362338.20244227,75759827.46778162
4,agent,71503566.30513848,2149391.4495254294,6477817.374357989,8167412.427138936,9637286.068991562
4,firm,235509467.4042847,16708545.017651511,29401842.344699968,60772466.621095896,67799254.95703024
5,agent,70862208.79650114,1782229.3441965086,6226480.502822427,8225445.350218501,9523081.322321907
5,firm,187495819.2164388,28009183.921518333,86156256.64316939,84275993.64674094,48373485.43626205
6,agent,78815209.10648233,2242558.2347462596,6358748.914071303,8264563.408920187,9719319.835210513
6,firm,186573823.91094324,5810080.0564622525,16850502.54235995,34228120.59480287,44149710.93574007
7,agent,79211627.17750496,1645461.3231670412,6227471.261327425,8163086.497285079,9871224.991064113
7,firm,138230450.63061377,10026854.101617057,46348709.28900621,58519091.71592774,44586404.29773326
8,agent,68523021.81528123,1963711.162690816,5673665.8106616605,8168704.953993645,9187776.547765566
8,firm,119062384.92413747,15956467.074229077,30576965.255524836,46466004.13806852,39214858.710395016
9,agent,71328310.86719078,2189047.2340211347,6355214.529835245,8234184.582990702,9711060.000055928
9,firm,99737637.58540371,33659558.780933954,42328364.549246415,60180638.493980765,25745083.080138396
