run,type,max,min,median,mean,stddev
0,agent,30895314.37561821,1621029.2139133348,4041511.827350244,4730928.406496244,3628915.227554025
0,firm,67434943.70234378,18322780.63766387,23156708.70485849,34706097.208745465,19972642.012114555
1,agent,33659386.06841977,2006300.6935123226,3957532.7926299023,4732490.5809789095,3802567.7761100843
1,firm,59094819.141719684,17818667.772903036,27136306.108760193,33705964.05783905,14637126.827080367
2,agent,22050051.726366043,2116543.6644429006,4223613.427051067,4733758.556524802,3177132.0852972064
2,firm,62162439.71966329,15658652.079450672,24258479.24322807,31587863.87344855,17712552.628152207
3,agent,22163184.768933427,1849509.7727330173,4152574.6542386236,4736642.5734243635,3253974.2617548103
3,firm,65674588.73901038,21939349.108123094,43625846.66767977,41529401.27280535,14898388.783800641
4,agent,22042757.973065097,1875728.5879638747,3867165.1511786627,4739213.247184023,3159325.6474436587
4,firm,58949771.90922558,14757834.369152093,15585031.569648366,28130063.210564084,18269279.654135708
5,agent,25816350.276261017,2241738.7526232507,3936431.008333075,4761627.930997636,3453159.846823273
5,firm,65555012.984635435,22569820.754961155,41556174.31034099,41873574.60605485,16038671.168936422
6,agent,22781166.885391816,2395804.1868078606,4094517.955997688,4731664.556191244,3150316.720244764
6,firm,63971496.6537965,23620545.945142504,48156097.80372341,44553692.65601326,15655390.888719738
7,agent,22162151.53675106,2367802.007767964,3890611.7125507575,4750675.710287682,3358767.2382193855
7,firm,61537656.11619802,23981593.511027545,46157171.155573085,46586363.1082987,11550939.459306486
8,agent,29785896.028809022,2138773.37672069,3979668.727100757,4734761.466085218,3569334.9680348383
8,firm,65177879.632924125,18856604.19264184,20479869.19699114,35169879.49286788,19289528.373539194
9,agent,22715619.327078637,2030682.7176285507,3980044.440178447,4747312.9881350845,3271834.15972523
9,firm,65994116.15488814,22305863.44039751,33231973.665176507,40877838.92004706,17131741.09991557
10,agent,30228967.491907347,2047027.4878359672,4338081.3708007075,4797418.672518871,3416347.486150055
10,firm,64659248.00156767,17118620.89066432,28680794.448865134,32615688.745911766,15252661.450400975
11,agent,24429033.60410861,1987296.0241980504,4226438.645391367,4840543.190825757,3247668.506036834
11,firm,67532383.35544795,21185711.010057006,28743428.480940364,40680745.36212689,19736160.958605923
12,agent,26720111.450711947,1758061.0288359062,4039407.79058187,4782142.274452398,3342710.1088389712
12,firm,67350865.0220745,21873866.16360709,44334744.568863235,41977254.033339486,16401649.9386887
13,agent,25766141.926808115,2158885.4083915,4147481.2176232114,4792524.096718391,3255577.5989925717
13,firm,65519015.06675148,14534338.725029077,18648900.21248941,27544239.433055867,16977605.149697658
14,agent,26784981.569561757,2105039.983737587,3996552.6979518477,4738373.636498589,3274028.4927271944
14,firm,66560923.711306386,22058338.659869663,43631845.69486633,41901041.42833855,14599869.040727794
15,agent,21315744.149959885,1897910.670239533,4117135.497790329,4725704.518665654,3143203.078179067
15,firm,61171221.31660812,15076506.10359711,18749419.595906194,28938549.114281576,17261297.297704037
16,agent,33837105.60572769,1915681.7554794597,4105446.0126556912,4748181.016332329,3874128.0914433277
16,firm,66346633.258436985,22545105.327606495,40061730.88566585,41938119.4429098,16888897.02616372
17,agent,19417733.51497935,1888311.539759312,4029731.671704743,4733422.72290913,3067105.7624310763
17,firm,55514975.729161784,12990717.323317746,16518642.793876125,24111351.85500225,13879425.406832593
18,agent,28903745.015885986,1913864.6497666778,4108300.346711297,4790221.9698378425,3411356.8639052655
18,firm,61308889.16219103,21747509.27184091,39118313.138996825,40540024.156997286,11328522.510985086
19,agent,30002849.842747383,2077857.4247055494,4156964.611183461,4772587.736302014,3570135.197518231
19,firm,50387119.570012905,15503413.335451297,28128774.467619836,29699748.98686433,12993618.945517134
20,agent,31365488.305889793,1846786.020070894,3939291.4972397033,4777223.669159069,3550232.875647136
20,firm,65202854.53433971,23398103.59331369,53228762.7913122,45235240.34571139,15187658.136020973
21,agent,22127285.1613311,2240872.9691524208,3971987.6081465944,4729121.109435302,3196834.937414446
21,firm,59842555.62571095,19458330.928128324,38640826.88988775,37813111.972355254,13400172.985034455
22,agent,22055617.191212814,2208668.1818707306,4124677.028512653,4837358.740205891,3201643.1165631246
22,firm,54462923.044441104,20488550.601584245,43786370.94390121,39076652.48536278,12430749.294311428
23,agent,21299685.550209336,2280049.7783404244,3977605.7243356593,4709719.73739296,3244655.94493018
23,firm,54928184.71279333,20962977.687631596,40536606.49665959,38904987.130525015,11036010.90029221
24,agent,26029138.975026507,1962265.5915936404,4194460.356114283,4804569.824635203,3651854.657389214
24,firm,65046477.73633296,20943963.757091016,39949002.102393776,39697535.000182465,16347828.456239393
25,agent,26491933.153396703,2471742.0650951196,4019687.85141934,4772466.1651197225,3361005.1527355285
25,firm,66656526.63723642,23771512.458016068,46536356.417822205,44746815.98934294,14478975.369647713
