run,type,max,min,median,mean,stddev
0,agent,70170683.20830996,-116516.07917969977,6554603.551524039,8418887.073406294,10757147.273462752
0,firm,86060144.45311113,15313921.14261086,43210227.931266025,47636846.21228162,24389889.64668481
1,agent,68779482.27400395,-117410.76514597605,7061677.458326859,8412877.41361115,11059854.732540349
1,firm,102060583.03002189,10179348.10432211,82313952.5880859,67246912.60167693,33852328.883876756
2,agent,79951446.06313501,-89608.65879803177,7097381.942901316,8441482.559757777,11402454.328068262
2,firm,73448763.6993054,12613987.48100753,47778313.79590881,45292076.05958964,18980203.804170758
3,agent,64062333.80739689,-91685.38746776739,6316663.165442902,8395914.593284804,10741777.998584606
3,firm,104532947.75682926,13236181.530272001,51314680.02496998,53495093.80905096,31801605.92263476
4,agent,68082010.13991612,-94334.01822407905,6735433.348140688,8393028.151047042,10611368.800133899
4,firm,87564872.14602122,19807659.553781006,52511968.50070304,53485276.17837355,23692897.10015413
5,agent,70799378.46163133,-94543.13810242497,6485569.939867591,8403213.440556316,10916438.920557212
5,firm,97132532.94196093,15595584.766364783,57885876.823858574,51075017.424730614,24856118.197723143
6,agent,72828888.30743363,-94703.52962424785,6097147.478045804,8391279.180934556,10997911.35767939
6,firm,95739752.81176773,28256340.120629393,63012254.44585249,58778485.23229512,22126036.681329753
7,agent,75490783.16161509,-105752.26275086966,6548315.075851686,8379662.631477375,10748667.438149372
7,firm,85642133.65341873,10461839.802921357,49898283.93071951,51415986.52806067,26729407.664912425
8,agent,51223438.18310331,-90141.62219197984,6454268.478138865,8411554.448059635,10453803.848808104
8,firm,105053924.97851427,8617853.920225952,49145207.4666722,50161409.42240023,33592059.21396178
9,agent,83121712.44581357,-131459.10836774934,6707105.972749466,8460430.557345694,12040376.524276925
9,firm,104923615.64015193,12636545.799319515,56234463.27584067,57926019.70502303,29219314.07252651
10,agent,73246088.60121728,-116538.12004471447,6116150.585261099,8412934.552562073,11335051.371912267
10,firm,80757154.26600325,19264532.486740876,52501943.88769974,53095370.772817,17630871.002203155
11,agent,87341292.4892089,-158328.64893408524,6498372.48224171,8415445.07836836,12158717.471116992
11,firm,100445331.83892569,19662468.651967444,60014049.50418721,60888201.4100541,29475257.283559956
12,agent,68600180.65077414,-90653.9991128223,6216674.305287957,8418966.843286492,10741869.414994137
12,firm,106934384.23091248,30434879.618766103,71321710.99565062,65669287.81252162,23411371.5207162
13,agent,72249335.90284935,-97685.64767076747,7020385.3532913355,8407636.878285361,10814281.02243747
13,firm,102065927.47252841,15278067.113172956,29658659.10390325,41766108.47053751,27430824.385580685
14,agent,73315142.79470664,-75481.45234225516,6961967.577549093,8386339.226128558,11316927.516268143
14,firm,92705159.4979717,9055874.81913436,46740271.83711621,50503575.982717715,28323063.588450592
15,agent,70262909.74432042,-99931.78961784019,7179002.151142428,8381665.928592734,10638804.095549408
15,firm,102482606.4694301,18010160.06662958,75030781.75270571,62943361.31252823,31876852.885291997
16,agent,72336499.8530117,-111148.64256904772,6728168.589345692,8439601.05384143,11185154.948540255
16,firm,102998658.97497393,7937743.458891456,72359096.44360647,63302030.62674973,33177699.06334326
17,agent,72012262.97762884,-85126.3020116564,6900433.542767119,8424004.367454635,10968097.559677454
17,firm,103415115.09075692,17041463.995921724,90625386.50728312,77725005.64476307,29186510.023306537
18,agent,79136850.28176711,-87725.14751703154,6428061.4285508245,8418666.44511847,11730334.150442623
18,firm,106567063.06268267,10855162.65671226,59729081.86343682,58186678.6592355,28587622.30926246
19,agent,73644059.8896293,-90591.90581574471,7066886.095323615,8408505.043845546,10642890.893539663
19,firm,104142454.12856759,31327396.03967511,44624278.97547138,54681948.78076249,23649489.140181813
20,agent,64730946.756552435,-75786.0249343396,7054298.415542696,8419251.724819608,10708241.387341253
20,firm,105962870.29084314,14742277.550331404,67443761.05492912,70113882.48612936,27534555.30358009
21,agent,68715349.53951584,-122097.19458027446,6654996.416102126,8392462.28693135,10696940.924293049
21,firm,106945739.67853324,7559391.971814291,75704765.38441256,68940714.00781621,27505376.934660025
22,agent,112557459.7881899,-122268.55914280463,6314819.750492593,8423277.701871961,13181645.153552815
22,firm,73087483.98347467,9134316.91290199,64454680.658250794,52881131.84186377,21039585.22896639
23,agent,65220926.889205396,-87386.15399411782,6759059.719343865,8416242.63450483,11149442.41895902
23,firm,103131300.0197961,6997446.304665833,40024522.98444416,38184569.35699119,27332687.319304112
24,agent,82154736.64725366,-88757.52987567635,6707977.791731054,8418866.36861184,11320380.252311278
24,firm,97558653.18511455,18588191.34657158,36495774.40219385,51073907.93313062,27324068.901462324
25,agent,78128905.2419568,-106131.46623267427,6582601.970077631,8421641.683877356,11047286.527770918
25,firm,99879227.47803912,10227081.034555024,35366550.61443716,46701405.78123148,28079764.588646706
26,agent,75496219.40746966,-86131.98987906339,6925024.792361995,8436000.014330905,10934250.689619504
26,firm,103454828.00607485,13847039.888407972,69327837.26668063,62798190.38440426,25985429.18126593
27,agent,90626883.86389339,-96641.99714419327,6631819.805315489,8420481.006496854,11633790.83767933
27,firm,90699506.3663739,34151650.455181465,50166228.49498227,56645357.24037458,18173510.039017674
28,agent,74635780.57291247,-84318.52360726232,6992459.633447003,8409591.144163653,10717203.398009693
28,firm,104154761.06814866,16601356.722203488,52937977.8002759,55644989.509485506,26166471.29163413
29,agent,74166679.88852821,-115056.67243292808,6875281.778300395,8419165.822190056,10843633.89011349
29,firm,104789437.24461567,25121572.876336873,79220158.30710855,72783839.59624965,26306036.045648105
30,agent,61327276.29008677,-86405.79041338118,6720685.2363672815,8390620.674694639,10517854.068927638
30,firm,81092425.35009822,8199889.904243464,40631504.763697654,45410661.85837282,22983533.02117053
31,agent,80272995.44936548,-121333.39084918602,6831227.089543421,8408187.229421992,11809522.342590926
31,firm,99271667.60673188,35349752.42469773,70003564.13807999,70578672.0171146,20313821.0459925
32,agent,103228005.1300357,-123201.9077177737,6699716.735090332,8408058.587661758,12832378.131428806
32,firm,99767756.40440185,8971682.33105242,59773798.42917089,55100526.11487492,29313366.462270997
33,agent,74185605.11348821,-100677.4996793458,7248035.69925238,8409891.065655375,10888107.37037981
33,firm,80575626.51325512,8043350.805250491,37470908.574266545,40221182.96122062,22064030.989198428
34,agent,66566794.77080837,-156628.89675660842,6413859.642958465,8377424.2011004565,10940582.044777066
34,firm,91892686.32243809,14552991.918778956,57150985.771596625,54059725.98193252,24102239.950186774
35,agent,71312212.9189565,-113398.68510745741,7007952.951829466,8398054.74809901,10743729.44306348
35,firm,102922277.4417894,9921386.632481383,80079684.27429196,72371547.43655518,27287733.524062645
36,agent,80315383.5913522,-121596.01837028872,6470090.332475517,8415618.078443058,11373925.224351939
36,firm,57319213.76650044,17822905.520962443,35055100.26997279,37992412.63531967,13975094.50998468
37,agent,88876421.87944756,-85411.55095247562,7062514.601504188,8433666.955191065,11564396.01983526
37,firm,94973050.1489172,11903361.366862385,47746853.0634488,52597960.71008693,33317947.679058928
38,agent,81527362.96091309,-98571.64983814096,6852618.754852282,8396960.578590075,11273764.87999788
38,firm,106216359.30353986,21377931.37154101,62045217.128194764,61156025.76409062,29645996.697141904
39,agent,69297827.55785802,-168764.65399338305,6269230.750238327,8390994.464530323,11122920.22183662
39,firm,101809387.644166,18362663.094441988,64523932.07594395,56437211.78636737,28858931.99891954
40,agent,67424305.83656855,-93259.30483057533,6993432.013864979,8414500.663182547,10622964.749646107
40,firm,92809574.55429313,10333335.15528215,52502211.93405567,54705294.0916187,29644436.9217992
41,agent,66646069.96665908,-96492.29881203629,6974117.849648047,8388450.717889105,11046571.226050248
41,firm,93641988.34156644,18187914.19996933,51399472.73423076,54701039.31030939,28636309.474389568
42,agent,54360349.79713198,-87910.17625284872,6729395.56678864,8403053.181565007,10333806.260909189
42,firm,106441668.30649272,14580183.656118572,68526904.25113837,63882866.80668922,34540151.64592023
43,agent,62711000.22710922,-101673.60478843219,6564870.024462555,8420324.661226738,10602468.006797224
43,firm,103762740.65937845,18361422.525287904,44278510.46252336,57529460.75784186,28310449.919322185
44,agent,73435525.12556,-83040.40376323595,6979933.139335987,8422027.337002788,11209134.981752299
44,firm,101300722.06352168,8197895.014233567,45139645.66967003,55875351.4250442,31799313.990414325
45,agent,61217709.20462778,-138542.43112182152,6657570.361351997,8394886.451208284,10673195.732933423
45,firm,104483631.62348635,29735796.128392145,76029892.83772714,68886939.21215956,28277627.205097448
46,agent,65031327.609485604,-101419.26449055978,7183932.933783973,8400716.574507717,10704693.254192943
46,firm,93571737.67100804,24067130.04190244,72469471.89024131,67005884.29274762,23156456.636194315
47,agent,87201915.96629871,-101975.40397170147,6828685.906581633,8389499.89040573,11222895.282434857
47,firm,93966236.45239529,22134244.54202238,63527230.086915866,59402574.47327475,26998447.323243316
48,agent,70775554.09632005,-108035.15048593748,6647172.289860124,8436940.526971214,10910867.178274946
48,firm,94575681.1898011,27015214.11419065,53331865.31803982,57807444.95492659,24531727.018666632
49,agent,76443754.00622141,-160798.15320629868,6766022.835603571,8419018.416642165,11341921.255661385
49,firm,95717108.01100689,13122559.48473866,32898379.309091955,37137072.70417969,22315455.18595522
