run,type,max,min,median,mean,stddev
0,agent,44278326.14597279,593635.2816938749,5558281.501176279,6065229.757512932,5509083.799108029
0,firm,96594928.5832052,21945681.176964156,62617255.98485733,62069761.56076847,22128690.231533457
1,agent,31510647.29741871,478970.09674937406,5670229.200110897,6063412.311362649,5220649.617874505
1,firm,90390026.9387662,14370420.110750204,61425543.282998875,55259079.18241824,30567954.584686145
2,agent,31412151.63302691,586736.9849264479,5252004.022621959,6052253.800362464,5217607.814240015
2,firm,90580762.88972902,11970099.183310427,50868329.61364015,43935984.20289247,24097809.233312078
3,agent,32109675.09714969,515165.2853233934,5803901.493829602,6066322.4673712095,5094121.895142586
3,firm,95315541.47900724,12381833.159112593,44602804.06467989,44482107.080557585,27387716.74342938
4,agent,34625335.63875956,574515.6451703152,5502587.745752482,6051321.43490538,5145576.648832094
4,firm,83568511.05153362,24555730.55542162,61658726.40946627,55696351.285541736,20542790.040222246
5,agent,36960665.541148044,466052.60725028085,5384377.719058177,6049006.383930782,5193755.330544894
5,firm,91559191.34122576,14889330.97411501,56180341.616507895,53749804.58801367,21957999.211847696
6,agent,28758906.682237983,597289.622987504,5564147.0734006055,6062285.381859709,5159370.487322528
6,firm,64947910.59338362,9256497.085465576,39704885.77937156,36700323.25588977,18689965.10035502
7,agent,39907080.179529846,472120.3558110683,5568944.3415974025,6068234.80110149,5778386.555989565
7,firm,93471011.81199366,10820220.853568047,51834421.77374235,45833069.03938054,29792342.890029855
8,agent,33261788.170723088,539501.5110474312,5399294.953928942,6042744.056519146,5267300.461013374
8,firm,97836994.25462322,10776752.770287633,32638610.197776612,39924768.885854945,26134947.94964221
9,agent,26963633.65356094,511343.00330041006,5743009.081392912,6052155.007666862,5049947.910906506
9,firm,85256218.8722391,9674810.391834168,34911385.54754777,39617696.74898348,24470212.68875283
