iteration,type,id,money
1,agent,G0,4590000.00
1,agent,G1,4535819.13
1,agent,G2,10374715.32
1,agent,G3,31680000.00
1,agent,G4,10350000.00
1,agent,G5,600000.00
1,agent,G6,27440000.00
1,agent,G7,13500000.00
1,agent,G8,15180000.00
1,agent,G9,8628715.32
1,firm,F0,9000000.00
1,firm,F1,45000000.00
1,firm,F2,99000000.00
1,firm,F3,99000000.00
1,firm,F4,23000000.00
1,firm,F5,33426569.36
1,firm,F6,57059785.87
1,firm,F7,100000000.00
1,firm,F8,92000000.00
1,firm,F9,3000000.00
10,agent,G0,2626979.25
10,agent,G1,2267866.53
10,agent,G2,10724136.45
10,agent,G3,32004146.80
10,agent,G4,22410334.46
10,agent,G5,1883105.57
10,agent,G6,17628189.06
10,agent,G7,15201273.36
10,agent,G8,16394410.22
10,agent,G9,2629694.37
10,firm,F0,9635909.68
10,firm,F1,45261815.89
10,firm,F2,99724062.62
10,firm,F3,101260579.58
10,firm,F4,23610176.99
10,firm,F5,33901700.48
10,firm,F6,57347690.23
10,firm,F7,102194123.20
10,firm,F8,92000000.00
10,firm,F9,3049386.26
20,agent,G0,12768665.14
20,agent,G1,3518823.82
20,agent,G2,6149266.53
20,agent,G3,34266705.41
20,agent,G4,8978926.88
20,agent,G5,4346368.21
20,agent,G6,13559725.80
20,agent,G7,19234357.93
20,agent,G8,4804625.81
20,agent,G9,5882682.78
20,firm,F0,10362728.11
20,firm,F1,46448561.99
20,firm,F2,100396206.52
20,firm,F3,103431843.61
20,firm,F4,25199434.99
20,firm,F5,37480479.49
20,firm,F6,58343438.23
20,firm,F7,102245332.27
20,firm,F8,94324852.40
20,firm,F9,4784334.06
30,agent,G0,6627324.53
30,agent,G1,2772674.87
30,agent,G2,3223851.56
30,agent,G3,36895936.09
30,agent,G4,5044340.44
30,agent,G5,19196713.30
30,agent,G6,5791331.59
30,agent,G7,20557128.90
30,agent,G8,2399483.41
30,agent,G9,3689993.55
30,firm,F0,11741778.07
30,firm,F1,48477820.58
30,firm,F2,101827172.99
30,firm,F3,103835070.89
30,firm,F4,26208488.05
30,firm,F5,38991983.75
30,firm,F6,60469544.56
30,firm,F7,103009905.21
30,firm,F8,96989852.67
30,firm,F9,7025157.01
40,agent,G0,6846588.29
40,agent,G1,1444627.35
40,agent,G2,1825492.31
40,agent,G3,27701621.50
40,agent,G4,6471861.87
40,agent,G5,11662701.01
40,agent,G6,2776671.92
40,agent,G7,24998642.76
40,agent,G8,9359230.17
40,agent,G9,3906608.40
40,firm,F0,11840952.41
40,firm,F1,54938390.90
40,firm,F2,103084352.66
40,firm,F3,105299052.14
40,firm,F4,26250931.05
40,firm,F5,41703591.06
40,firm,F6,61900951.02
40,firm,F7,104136005.88
40,firm,F8,97330026.30
40,firm,F9,7025157.01
50,agent,G0,9728598.91
50,agent,G1,556509.88
50,agent,G2,4173553.53
50,agent,G3,27491345.83
50,agent,G4,3668571.51
50,agent,G5,10489122.44
50,agent,G6,9508453.37
50,agent,G7,8454956.96
50,agent,G8,10328536.35
50,agent,G9,6900715.68
50,firm,F0,12508020.46
50,firm,F1,54970935.60
50,firm,F2,103405559.66
50,firm,F3,105899646.54
50,firm,F4,28437015.93
50,firm,F5,42851946.51
50,firm,F6,62961745.84
50,firm,F7,104734783.91
50,firm,F8,98327103.88
50,firm,F9,10144352.23
